Release 14.2 - par P.28xd (nt64)
Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

Tue Feb 17 17:19:59 2015


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       SPI_MASTER_MODULE_TX_map.ncd
OUTPUT FILE:      SPI_MASTER_MODULE_TX_pad.txt
PART TYPE:        xc3s500e
SPEED GRADE:      -5
PACKAGE:          vq100

Pinout by Pin Number:

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name       |Pin Usage|Pin Name              |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|P32       |DATA_OUT<5>       |IBUF     |IO_L03P_2/D7/GCLK12   |INPUT    |LVCMOS25*  |2             |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|P33       |DATA_OUT<6>       |IBUF     |IO_L03N_2/D6/GCLK13   |INPUT    |LVCMOS25*  |2             |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|P34       |DATA_OUT<7>       |IBUF     |IO/D5                 |INPUT    |LVCMOS25*  |2             |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|P35       |CONT              |IBUF     |IO_L04P_2/D4/GCLK14   |INPUT    |LVCMOS25*  |2             |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|P36       |MOSI              |IOB      |IO_L04N_2/D3/GCLK15   |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |         |UNLOCATED |NO         |NONE            |
|P37       |                  |         |GND                   |         |           |              |          |         |           |         |         |          |           |                |
|P38       |RESET             |IBUF     |IP_L05P_2/RDWR_B/GCLK0|INPUT    |LVCMOS25*  |2             |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|P39       |START_TX          |IBUF     |IP_L05N_2/M2/GCLK1    |INPUT    |LVCMOS25*  |2             |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|P40       |OUTPUT_BUFFER_DATA|IOB      |IO_L06P_2/D2/GCLK2    |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |         |UNLOCATED |NO         |NONE            |
|P41       |BUSY              |IOB      |IO_L06N_2/D1/GCLK3    |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |         |UNLOCATED |NO         |NONE            |
|P42       |OUTPUT_BUFFER_FULL|IOB      |IO/M1                 |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |         |UNLOCATED |NO         |NONE            |
|P43       |SCLK              |IOB      |IO_L07P_2/M0          |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |         |UNLOCATED |NO         |NONE            |
|P44       |SS<0>             |IOB      |IO_L07N_2/DIN/D0      |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |         |UNLOCATED |NO         |NONE            |
|P45       |                  |         |VCCO_2                |         |           |2             |          |         |           |         |2.50     |          |           |                |
|P46       |                  |         |VCCAUX                |         |           |              |          |         |           |         |2.5      |          |           |                |
|P47       |SS<1>             |IOB      |IO_L08P_2/VS2         |OUTPUT   |LVCMOS25*  |2             |12        |SLOW     |NONE**     |         |         |UNLOCATED |NO         |NONE            |
|P48       |ADDRESS<0>        |IBUF     |IO_L08N_2/VS1         |INPUT    |LVCMOS25*  |2             |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|P49       |                  |DIFFM    |IO_L09P_2/VS0         |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|P50       |                  |DIFFS    |IO_L09N_2/CCLK        |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|P51       |                  |         |DONE                  |         |           |              |          |         |           |         |         |          |           |                |
|P52       |                  |         |GND                   |         |           |              |          |         |           |         |         |          |           |                |
|P53       |                  |DIFFM    |IO_L01P_1             |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P54       |                  |DIFFS    |IO_L01N_1             |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P55       |                  |         |VCCO_1                |         |           |1             |          |         |           |         |any******|          |           |                |
|P56       |                  |         |VCCINT                |         |           |              |          |         |           |         |1.2      |          |           |                |
|P57       |                  |DIFFM    |IO_L02P_1             |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P58       |                  |DIFFS    |IO_L02N_1             |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P59       |                  |         |GND                   |         |           |              |          |         |           |         |         |          |           |                |
|P60       |                  |DIFFM    |IO_L03P_1/RHCLK0      |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P61       |                  |DIFFS    |IO_L03N_1/RHCLK1      |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P62       |                  |DIFFM    |IO_L04P_1/RHCLK2      |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P63       |                  |DIFFS    |IO_L04N_1/RHCLK3/TRDY1|UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P64       |                  |         |GND                   |         |           |              |          |         |           |         |         |          |           |                |
|P65       |                  |DIFFM    |IO_L05P_1/RHCLK4/IRDY1|UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P66       |                  |DIFFS    |IO_L05N_1/RHCLK5      |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P67       |                  |DIFFM    |IO_L06P_1/RHCLK6      |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P68       |                  |DIFFS    |IO_L06N_1/RHCLK7      |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P69       |                  |IBUF     |IP/VREF_1             |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P70       |                  |DIFFM    |IO_L07P_1             |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P71       |                  |DIFFS    |IO_L07N_1             |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|P72       |                  |         |GND                   |         |           |              |          |         |           |         |         |          |           |                |
|P73       |                  |         |VCCO_1                |         |           |1             |          |         |           |         |any******|          |           |                |
|P74       |                  |         |VCCAUX                |         |           |              |          |         |           |         |2.5      |          |           |                |
|P75       |                  |         |TMS                   |         |           |              |          |         |           |         |         |          |           |                |
|P76       |                  |         |TDO                   |         |           |              |          |         |           |         |         |          |           |                |
|P77       |                  |         |TCK                   |         |           |              |          |         |           |         |         |          |           |                |
|P78       |                  |DIFFM    |IO_L01P_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P79       |                  |DIFFS    |IO_L01N_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P80       |                  |         |VCCINT                |         |           |              |          |         |           |         |1.2      |          |           |                |
|P81       |                  |         |GND                   |         |           |              |          |         |           |         |         |          |           |                |
|P82       |                  |         |VCCO_0                |         |           |0             |          |         |           |         |2.50     |          |           |                |
|P83       |                  |DIFFM    |IO_L02P_0/GCLK4       |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P84       |                  |DIFFS    |IO_L02N_0/GCLK5       |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P85       |                  |DIFFM    |IO_L03P_0/GCLK6       |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P86       |                  |DIFFS    |IO_L03N_0/GCLK7       |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P87       |                  |         |GND                   |         |           |              |          |         |           |         |         |          |           |                |
|P88       |                  |DIFFMI   |IP_L04P_0/GCLK8       |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P89       |CLK               |IBUF     |IP_L04N_0/GCLK9       |INPUT    |LVCMOS25*  |0             |          |         |           |NONE     |         |UNLOCATED |NO         |NONE            |
|P90       |                  |DIFFM    |IO_L05P_0/GCLK10      |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P91       |                  |DIFFS    |IO_L05N_0/GCLK11      |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P92       |                  |IOB      |IO                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P93       |                  |         |GND                   |         |           |              |          |         |           |         |         |          |           |                |
|P94       |                  |DIFFM    |IO_L06P_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P95       |                  |DIFFS    |IO_L06N_0/VREF_0      |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P96       |                  |         |VCCAUX                |         |           |              |          |         |           |         |2.5      |          |           |                |
|P97       |                  |         |VCCO_0                |         |           |0             |          |         |           |         |2.50     |          |           |                |
|P98       |                  |DIFFM    |IO_L07P_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P99       |                  |DIFFS    |IO_L07N_0/HSWAP       |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|P100      |                  |         |TDI                   |         |           |              |          |         |           |         |         |          |           |                |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen. 
****** Special VCCO requirements may apply. Please consult the device 
       family datasheet for specific guideline on VCCO requirements. 


